ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13975494,JJ424869,09/22/2025 11:22:00 PM,047XX S THROOP ST,0560,ASSAULT,SIMPLE,SIDEWALK,False,False,933.0,9.0,20.0,61.0,08A,1168457.0,1873439.0,2025.0,03/14/2026 03:41:39 PM,41.808245053,-87.657661674,"(41.808245053, -87.657661674)"
13773390,JJ178971,03/12/2025 02:40:00 PM,008XX N MICHIGAN AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1833.0,18.0,42.0,8.0,06,1177311.0,1905834.0,2025.0,03/14/2026 03:41:39 PM,41.896943556,-87.624206307,"(41.896943556, -87.624206307)"
13609985,JH442910,09/24/2024 09:42:00 PM,023XX S STATE ST,0460,BATTERY,SIMPLE,APARTMENT,True,False,131.0,1.0,3.0,33.0,08B,1176684.0,1888794.0,2024.0,05/17/2025 03:40:52 PM,41.850198974,-87.627024152,"(41.850198974, -87.627024152)"
13927315,JJ365633,08/07/2025 02:30:00 AM,093XX S MERRILL AVE,0810,THEFT,OVER $500,RESIDENCE,False,False,413.0,4.0,7.0,48.0,06,1192140.0,1843440.0,2025.0,03/14/2026 03:41:39 PM,41.725381716,-87.571773558,"(41.725381716, -87.571773558)"
13235991,JG454648,10/06/2023 06:30:00 PM,010XX W NORTH SHORE AVE,0820,THEFT,$500 AND UNDER,APARTMENT,False,False,2432.0,24.0,49.0,1.0,06,1167860.0,1944673.0,2023.0,10/14/2023 03:41:53 PM,42.003728485,-87.657793756,"(42.003728485, -87.657793756)"
13198255,JG409659,09/03/2023 04:00:00 PM,010XX W BERWYN AVE,0460,BATTERY,SIMPLE,STREET,False,False,2023.0,20.0,48.0,77.0,08B,1168170.0,1935370.0,2023.0,09/11/2023 03:41:54 PM,41.978194141,-87.656923606,"(41.978194141, -87.656923606)"
14169040,JK220229,04/16/2026 04:43:00 PM,018XX S RIDGEWAY AVE,0810,THEFT,OVER $500,APARTMENT,False,False,1014.0,10.0,24.0,29.0,06,1151661.0,1890700.0,2026.0,04/24/2026 03:43:05 PM,41.855957329,-87.718812957,"(41.855957329, -87.718812957)"
13631674,JH469523,10/13/2024 08:00:00 AM,004XX E RANDOLPH ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,False,False,114.0,1.0,42.0,32.0,11,1179325.0,1901333.0,2024.0,05/17/2025 03:40:52 PM,41.884546689,-87.616947314,"(41.884546689, -87.616947314)"
13980035,JJ430280,09/27/2025 09:00:00 AM,019XX W 43RD ST,502P,OTHER OFFENSE,FALSE / STOLEN / ALTERED TRP,STREET,False,False,924.0,9.0,12.0,61.0,26,1164199.0,1876160.0,2025.0,03/14/2026 03:41:39 PM,41.815802592,-87.673202353,"(41.815802592, -87.673202353)"
12999193,JG172352,03/02/2023 09:30:00 PM,020XX W BERWYN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,True,2012.0,20.0,40.0,4.0,14,1161810.0,1935190.0,2023.0,08/19/2023 03:40:26 PM,41.977835641,-87.680317577,"(41.977835641, -87.680317577)"
13403778,JH194494,03/20/2024 05:31:00 AM,014XX N KINGSBURY ST,0610,BURGLARY,FORCIBLE ENTRY,FACTORY / MANUFACTURING BUILDING,False,False,1822.0,18.0,27.0,8.0,05,1169896.0,1909636.0,2024.0,12/21/2024 03:40:46 PM,41.907541422,-87.651329223,"(41.907541422, -87.651329223)"
12832018,JF401966,09/19/2022 11:00:00 AM,003XX E ILLINOIS ST,0460,BATTERY,SIMPLE,STREET,False,False,1834.0,18.0,42.0,8.0,08B,1178453.0,1903680.0,2022.0,01/03/2023 03:40:27 PM,41.891006903,-87.620077737,"(41.891006903, -87.620077737)"
13174643,JG381515,08/13/2023 02:49:00 PM,039XX W CORTLAND ST,1544,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,RESIDENCE,False,True,2535.0,25.0,26.0,20.0,17,1149623.0,1912330.0,2023.0,08/20/2023 03:42:01 PM,41.915352181,-87.725731354,"(41.915352181, -87.725731354)"
12764642,JF321701,07/18/2022 09:40:00 AM,046XX N CLIFTON AVE,0460,BATTERY,SIMPLE,OTHER (SPECIFY),False,False,1913.0,19.0,46.0,3.0,08B,1167678.0,1930890.0,2022.0,01/03/2023 03:40:27 PM,41.965911528,-87.65886264,"(41.965911528, -87.65886264)"
14000729,JJ455212,10/15/2025 08:00:00 AM,079XX S ESSEX AVE,1585,SEX OFFENSE,OTHER,"VEHICLE - OTHER RIDE SHARE SERVICE (LYFT, UBER, ETC.)",False,False,422.0,4.0,7.0,46.0,17,1194232.0,1852910.0,2025.0,03/14/2026 03:41:39 PM,41.751317167,-87.563800456,"(41.751317167, -87.563800456)"
